UserID,Amount,Location,Description,Month,Day,Year
1,251.03,Loblaws,Food,12,12,2020
1,314.17,Loblaws,Food,1,12,2020
1,343.05,Loblaws,Food,12,12,2021
1,192.40,Loblaws,Food,3,1,2021
1,80.59,Loblaws,Food,4,12,2020
1,252.36,Loblaws,Food,12,12,2021
1,662.45,Loblaws,Food,12,12,2020
1,358.73,Loblaws,Food,7,12,2020
1,783.55,Loblaws,Food,12,12,2020
1,775.07,Loblaws,Food,12,12,2019
1,570.51,Loblaws,Food,9,16,2019
1,671.12,Loblaws,Food,11,12,2020
1,905.97,Loblaws,Food,12,12,2020
1,848.62,Loblaws,Food,12,12,2018
1,269.92,Loblaws,Food,6,12,2020
1,371.82,Loblaws,Food,10,12,2020